iShares Treasury Floating Rate Bond ETF
Fund Holdings as of,"May 01, 2023"
Inception Date,"Feb 03, 2014"
Shares Outstanding,"118,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","1,169,381,854.82","19.56","1,169,381,854.82","1,168,369,500.00","91282CFS5","US91282CFS52","BNTVWR5","United States","-","USD","0.00","5.23","1.00","Oct 31, 2024","5.27","0.25","-","5.23","0.25","5.23","USD","Oct 31, 2022","Oct 31, 2022"
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","1,030,744,850.99","17.24","1,030,744,850.99","1,031,164,200.00","91282CCQ2","US91282CCQ24","BMD9ZG8","United States","-","USD","0.01","5.28","1.00","Jul 31, 2023","5.16","0.25","-","5.28","0.25","5.28","USD","Jul 31, 2021","Aug 02, 2021"
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","879,810,309.81","14.72","879,810,309.81","879,719,200.00","91282CFD8","US91282CFD83","BQ7Y9M1","United States","-","USD","0.00","5.17","1.00","Jul 31, 2024","5.17","0.25","-","5.17","0.25","5.17","USD","Jul 31, 2022","Aug 01, 2022"
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","699,518,425.26","11.70","699,518,425.26","699,502,000.00","91282CDE8","US91282CDE84","BN7DPL8","United States","-","USD","0.01","5.18","1.00","Oct 31, 2023","5.17","0.25","-","5.18","0.25","5.18","USD","Oct 31, 2021","Nov 01, 2021"
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","619,706,578.03","10.37","619,706,578.03","620,233,500.00","91282CEL1","US91282CEL19","BQ2GVJ3","United States","-","USD","0.00","5.14","1.00","Apr 30, 2024","5.06","0.25","-","5.14","0.25","5.14","USD","Apr 30, 2022","May 02, 2022"
"BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","558,060,000.00","9.33","558,060,000.00","558,060,000.00","066922477","US0669224778","6922477","United States","-","USD","0.01","4.56","1.00","-","5.07","0.01","-","4.56","0.01","4.56","USD","-","Feb 04, 2009"
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","477,476,204.91","7.99","477,476,204.91","477,374,900.00","91282CDU2","US91282CDU27","BN95VP8","United States","-","USD","0.00","5.11","1.00","Jan 31, 2024","5.12","0.25","-","5.11","0.25","5.11","USD","Jan 31, 2022","Jan 31, 2022"
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","298,968,332.94","5.00","298,968,332.94","298,741,000.00","91282CGY1","US91282CGY12","BMDLR46","United States","-","USD","0.00","5.27","1.00","Apr 30, 2025","5.30","0.25","-","5.27","0.25","5.27","USD","Apr 30, 2023","May 01, 2023"
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","269,667,979.61","4.51","269,667,979.61","269,235,000.00","91282CGF2","US91282CGF23","BL6BVV1","United States","-","USD","0.00","5.26","1.00","Jan 31, 2025","5.33","0.25","-","5.26","0.25","5.26","USD","Jan 31, 2023","Jan 31, 2023"
"USD CASH","Cash and/or Derivatives","Cash","-24,522,217.34","-0.41","-24,522,217.34","-24,522,217.00","-","-","-","United States","-","USD","0.00","5.07","1.00","-","0.00","0.00","-","5.07","0.00","5.07","USD","-","Jan 01, 1989"
 
"The content contained herein is owned or licensed by BlackRock and/or its third-party information providers and is protected by applicable copyrights, trademarks, service marks, and/or other intellectual property rights. Such content is solely for your personal, non-commercial use. Accordingly, you may not copy, distribute, modify, post, frame or deep link this content. You may download material displayed on this Website for your personal use provided you also retain all copyright and other proprietary notices contained on the materials. Modification or use of the materials for any other purpose violates BlackRock's intellectual property rights.
Holdings subject to change. See www.iShares.com for the most recent funds holdings.
The values for “price” shown herein generally represent a price provided by a third-party pricing vendor for the portfolio holding and do not reflect the impact of systematic fair valuation (“the vendor price”). The vendor price is not necessarily the price at which the Fund values the portfolio holding for the purposes of determining its net asset value (the “valuation price”). Additionally, where applicable, foreign currency exchange rates with respect to the portfolio holdings denominated in non-U.S. currencies for the valuation price will be generally determined as of the close of business on the New York Stock Exchange, whereas for the vendor price will be generally determined as of 4 p.m. London. The values shown herein for “market value,” “weight,” and “notional value” (the “calculated values”) are based off of the vendor price and may have been different if the valuation price were to have been used to calculate such values. The vendor price is as of the most recent practicable date and may not necessarily be as of the date shown above.
Please see the “Determination of Net Asset Value” section of each Fund’s prospectus for additional information on the Fund’s valuation policies and procedures.
CAREFULLY CONSIDER THE FUNDS' INVESTMENT OBJECTIVES, RISK FACTORS, AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS' PROSPECTUSES OR, IF AVAILABLE, THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING WWW.ISHARES.COM OR WWW.BLACKROCK.COM. READ THE PROSPECTUS CAREFULLY BEFORE INVESTING. INVESTING INVOLVES RISK, INCLUDING POSSIBLE LOSS OF PRINCIPAL.
This information should not be relied upon as research, investment advice, or a recommendation regarding any products, strategies, or any security in particular.
This material is strictly for illustrative, educational, or informational purposes and is subject to change.
The Funds are distributed by BlackRock Investments, LLC (together with its affiliates, “BlackRock”).
The iShares Funds are not sponsored, endorsed, issued, sold or promoted by Bloomberg, BlackRock Index Services, LLC, Cboe Global Indices, LLC, Cohen & Steers, European Public Real Estate Association (“EPRA® ”), FTSE International Limited (“FTSE”), ICE Data Indices, LLC, NSE Indices Ltd, JPMorgan, JPX Group, London Stock Exchange Group (“LSEG”), MSCI Inc., Markit Indices Limited, Morningstar, Inc., Nasdaq, Inc., National Association of Real Estate Investment Trusts (“NAREIT”), Nikkei, Inc., Russell, S&P Dow Jones Indices LLC or STOXX Ltd. None of these companies make any representation regarding the advisability of investing in the Funds. With the exception of BlackRock Index Services, LLC, who is an affiliate, BlackRock Investments, LLC is not affiliated with the companies listed above. Neither FTSE, LSEG, nor NAREIT makes any warranty regarding the FTSE Nareit Equity REITS Index, FTSE Nareit All Residential Capped Index or FTSE Nareit All Mortgage Capped Index. Neither FTSE, EPRA, LSEG, nor NAREIT makes any warranty regarding the FTSE EPRA Nareit Developed ex-U.S. Index, FTSE EPRA Nareit Developed Green Target Index or FTSE EPRA Nareit Global REITs Index. “FTSE®” is a trademark of London Stock Exchange Group companies and is used by FTSE under license.
©2023 BlackRock, Inc or its affiliates. All rights reserved. iSHARES, iBONDS and BLACKROCK are trademarks of BlackRock, Inc. or its affiliates. All other trademarks are those of their respective owners.
iCRMH0323U/S-2742939"
